Statistical profiling result from cluster_result.log, (1962 ticks, 9 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  JS: ^<anonymous> /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:235:48
      1    0.1%    0.1%  JS: ^<anonymous> /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      1    0.1%    0.1%  JS: ^<anonymous> /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/express-handlebars/dist/express-handlebars.js:249:57
      1    0.1%    0.1%  JS: *shift node:internal/fixed_queue:108:8
      1    0.1%    0.1%  JS: *normalizeString node:path:66:25
      1    0.1%    0.1%  JS: *next /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/express/lib/router/index.js:177:16
      1    0.1%    0.1%  JS: *getEncodingOps node:buffer:688:24
      1    0.1%    0.1%  JS: *_unrefTimer node:net:462:52
      1    0.1%    0.1%  JS: *SourceNode_walk /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/source-map/lib/source-node.js:221:53
      1    0.1%    0.1%  JS: *SourceNode_add /Users/robertomora/Documents/Coding/Backend Course/Backend Codes/Entregables/Backend-Coder/Entregable14_RobertoMora/node_modules/source-map/lib/source-node.js:172:51
      1    0.1%    0.1%  JS: *Module.require node:internal/modules/cjs/loader:1097:36
      1    0.1%    0.1%  JS: *C node:internal/deps/cjs-module-lexer/dist/lexer:1:1152

 [C++]:
   ticks  total  nonlib   name
    912   46.5%   49.0%  T node::HistogramBase::GetConstructorTemplate(node::Environment*)
    479   24.4%   25.7%  T _posix_spawn_file_actions_adddup2
     50    2.5%    2.7%  T _semaphore_destroy
     33    1.7%    1.8%  t _Builtins_LoadIC
     26    1.3%    1.4%  T _kdebug_trace_string
     25    1.3%    1.3%  T _mach_msg_server_once
     10    0.5%    0.5%  t _Builtins_StrictEqual_Baseline
      9    0.5%    0.5%  t _Builtins_StoreIC
      8    0.4%    0.4%  t _Builtins_ToBooleanForBaselineJump
      8    0.4%    0.4%  t _Builtins_CallFunction_ReceiverIsNullOrUndefined
      8    0.4%    0.4%  T _issetugid
      8    0.4%    0.4%  T __simple_getenv
      7    0.4%    0.4%  t _Builtins_BaselineOutOfLinePrologue
      6    0.3%    0.3%  t _Builtins_LoadIC_NoFeedback
      6    0.3%    0.3%  t _Builtins_CallFunction_ReceiverIsNotNullOrUndefined
      6    0.3%    0.3%  T _mach_get_times
      5    0.3%    0.3%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
      5    0.3%    0.3%  t __os_once_gate_broadcast
      5    0.3%    0.3%  t ___pfz_setup
      5    0.3%    0.3%  t _Builtins_LoadICBaseline
      5    0.3%    0.3%  t _Builtins_KeyedLoadIC
      5    0.3%    0.3%  t _Builtins_Call_ReceiverIsNullOrUndefined
      5    0.3%    0.3%  t _Builtins_CallFunction_ReceiverIsAny
      4    0.2%    0.2%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      4    0.2%    0.2%  t _Builtins_StringSubstring
      4    0.2%    0.2%  t _Builtins_LoadIC_Megamorphic
      4    0.2%    0.2%  t _Builtins_GetProperty
      4    0.2%    0.2%  t _Builtins_Call_ReceiverIsNullOrUndefined_Baseline_Compact
      4    0.2%    0.2%  t _Builtins_Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
      4    0.2%    0.2%  t _Builtins_BaselineLeaveFrame
      3    0.2%    0.2%  t _Builtins_StringAdd_CheckNone
      3    0.2%    0.2%  t _Builtins_LessThan_Baseline
      3    0.2%    0.2%  t _Builtins_KeyedStoreIC_Megamorphic
      3    0.2%    0.2%  t _Builtins_KeyedLoadIC_Megamorphic
      3    0.2%    0.2%  t _Builtins_Call_ReceiverIsNotNullOrUndefined
      3    0.2%    0.2%  t _Builtins_Call_ReceiverIsAny
      3    0.2%    0.2%  T _task_restartable_ranges_synchronize
      2    0.1%    0.1%  t _fe51_sq
      2    0.1%    0.1%  t __bn_sqr8x_mont
      2    0.1%    0.1%  t _Builtins_StringPrototypeCharCodeAt
      2    0.1%    0.1%  t _Builtins_RegExpPrototypeExec
      2    0.1%    0.1%  t _Builtins_KeyedStoreIC
      2    0.1%    0.1%  t _Builtins_FunctionPrototypeCall
      2    0.1%    0.1%  t _Builtins_FindOrderedHashMapEntry
      2    0.1%    0.1%  t _Builtins_CreateShallowObjectLiteral
      2    0.1%    0.1%  t _Builtins_Construct
      2    0.1%    0.1%  t _Builtins_CompileLazy
      2    0.1%    0.1%  t _Builtins_ArrayPrototypeSlice
      2    0.1%    0.1%  t _Builtins_Add_Baseline
      2    0.1%    0.1%  t (anonymous namespace)::init_resb_result(UResourceDataEntry*, unsigned int, char const*, int, UResourceDataEntry*, char const*, int, UResourceBundle*, UErrorCode*)
      2    0.1%    0.1%  T node::AsyncWrap::EmitTraceEventBefore()
      2    0.1%    0.1%  T _host_request_notification
      1    0.1%    0.1%  t node::CleanupQueue::Add(void (*)(void*), void*)
      1    0.1%    0.1%  t icu_71::MaybeStackArray<char, 40>::~MaybeStackArray()
      1    0.1%    0.1%  t checkDataItem(DataHeader const*, signed char (*)(void*, char const*, char const*, UDataInfo const*), void*, char const*, char const*, UErrorCode*, UErrorCode*)
      1    0.1%    0.1%  t _uhash_allocate(UHashtable*, int, UErrorCode*)
      1    0.1%    0.1%  t _traverse_string
      1    0.1%    0.1%  t _construct_stub_create_deopt_addr
      1    0.1%    0.1%  t _bn2binpad
      1    0.1%    0.1%  t _asn1_item_embed_new
      1    0.1%    0.1%  t __pthread_mutex_check_init_slow
      1    0.1%    0.1%  t _Builtins_TypedArrayPrototypeLength
      1    0.1%    0.1%  t _Builtins_TypedArrayPrototypeByteLength
      1    0.1%    0.1%  t _Builtins_ThrowReferenceErrorIfHoleHandler
      1    0.1%    0.1%  t _Builtins_TestInHandler
      1    0.1%    0.1%  t _Builtins_StringPrototypeSlice
      1    0.1%    0.1%  t _Builtins_StringPrototypeIndexOf
      1    0.1%    0.1%  t _Builtins_StringIndexOf
      1    0.1%    0.1%  t _Builtins_StoreInArrayLiteralICBaseline
      1    0.1%    0.1%  t _Builtins_StoreInArrayLiteralIC
      1    0.1%    0.1%  t _Builtins_StoreIC_NoFeedback
      1    0.1%    0.1%  t _Builtins_StoreFastElementIC_Standard
      1    0.1%    0.1%  t _Builtins_ShiftRightSmiWideHandler
      1    0.1%    0.1%  t _Builtins_SetConstructor
      1    0.1%    0.1%  t _Builtins_ReturnReceiver
      1    0.1%    0.1%  t _Builtins_ResumeGeneratorBaseline
      1    0.1%    0.1%  t _Builtins_ResolvePromise
      1    0.1%    0.1%  t _Builtins_RegExpReplace
      1    0.1%    0.1%  t _Builtins_RecordWriteSaveFP
      1    0.1%    0.1%  t _Builtins_PerformPromiseThen
      1    0.1%    0.1%  t _Builtins_ObjectPrototypeToString
      1    0.1%    0.1%  t _Builtins_ObjectPrototypeHasOwnProperty
      1    0.1%    0.1%  t _Builtins_ObjectDefineProperty
      1    0.1%    0.1%  t _Builtins_NumberIsInteger
      1    0.1%    0.1%  t _Builtins_NewRestArgumentsElements
      1    0.1%    0.1%  t _Builtins_MapPrototypeSet
      1    0.1%    0.1%  t _Builtins_LdarHandler
      1    0.1%    0.1%  t _Builtins_LdaConstantHandler
      1    0.1%    0.1%  t _Builtins_KeyedLoadIC_PolymorphicName
      1    0.1%    0.1%  t _Builtins_KeyedLoadICBaseline
      1    0.1%    0.1%  t _Builtins_JumpLoopHandler
      1    0.1%    0.1%  t _Builtins_InterpreterPushArgsThenCall
      1    0.1%    0.1%  t _Builtins_InterpreterEntryTrampoline
      1    0.1%    0.1%  t _Builtins_InstanceOf_Baseline
      1    0.1%    0.1%  t _Builtins_IncHandler
      1    0.1%    0.1%  t _Builtins_GetPropertyWithReceiver
      1    0.1%    0.1%  t _Builtins_GetNamedPropertyHandler
      1    0.1%    0.1%  t _Builtins_FunctionPrototypeHasInstance
      1    0.1%    0.1%  t _Builtins_FulfillPromise
      1    0.1%    0.1%  t _Builtins_FastNewStrictArguments
      1    0.1%    0.1%  t _Builtins_Equal_Baseline
      1    0.1%    0.1%  t _Builtins_CreateShallowArrayLiteral
      1    0.1%    0.1%  t _Builtins_CreateRestParameterHandler
      1    0.1%    0.1%  t _Builtins_CreateIterResultObject
      1    0.1%    0.1%  t _Builtins_CreateEmptyLiteralObject
      1    0.1%    0.1%  t _Builtins_BitwiseOr_Baseline
      1    0.1%    0.1%  t _Builtins_ArraySome
      1    0.1%    0.1%  t _Builtins_ArrayPrototypePop
      1    0.1%    0.1%  t _Builtins_ArrayFrom
      1    0.1%    0.1%  t _Builtins_ArrayForEach
      1    0.1%    0.1%  T node::BaseObject::pointer_data()
      1    0.1%    0.1%  T node::AsyncHooks::push_async_context(double, double, v8::Local<v8::Object>)
      1    0.1%    0.1%  T icu_71::DateTimePatternGenerator::getBestRaw(icu_71::DateTimeMatcher&, int, icu_71::DistanceInfo*, UErrorCode&, icu_71::PtnSkeleton const**)
      1    0.1%    0.1%  T _u_strlen_71
      1    0.1%    0.1%  T _thread_destruct_special_reply_port
      1    0.1%    0.1%  T _ssl_read_internal
      1    0.1%    0.1%  T _ssl3_get_record
      1    0.1%    0.1%  T _semaphore_create
      1    0.1%    0.1%  T _res_getStringNoTrace_71
      1    0.1%    0.1%  T _read$NOCANCEL
      1    0.1%    0.1%  T _os_unfair_recursive_lock_unlock
      1    0.1%    0.1%  T _necp_open
      1    0.1%    0.1%  T _mach_vm_map
      1    0.1%    0.1%  T _gcm_ghash_v8
      1    0.1%    0.1%  T _ares__expand_name_validated
      1    0.1%    0.1%  T _OSAtomicIncrement32

 [Summary]:
   ticks  total  nonlib   name
     64    3.3%    3.4%  JavaScript
   1789   91.2%   96.1%  C++
     92    4.7%    4.9%  GC
    100    5.1%          Shared libraries
      9    0.5%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    853   70.4%   43.5%  T node::HistogramBase::GetConstructorTemplate(node::Environment*)
     44    3.6%    2.2%  T _semaphore_destroy
     31    2.6%    1.6%  t _Builtins_LoadIC
     25    2.1%    1.3%  T _mach_msg_server_once
     10    0.8%    0.5%  t _Builtins_StrictEqual_Baseline
     10    0.8%    0.5%  t _Builtins_KeyedStoreIC_Megamorphic
      9    0.7%    0.5%  t _Builtins_StoreIC
      9    0.7%    0.5%  t _Builtins_KeyedLoadIC_Megamorphic
      9    0.7%    0.5%  t _Builtins_ArrayForEach
      8    0.7%    0.4%  t _Builtins_ToBooleanForBaselineJump
      8    0.7%    0.4%  T __simple_getenv
      7    0.6%    0.4%  t _Builtins_BaselineOutOfLinePrologue
      6    0.5%    0.3%  t _Builtins_LoadIC_NoFeedback
      6    0.5%    0.3%  t _Builtins_KeyedLoadIC
      6    0.5%    0.3%  t _Builtins_CallFunction_ReceiverIsNotNullOrUndefined
      5    0.4%    0.3%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
      5    0.4%    0.3%  t _Builtins_PromiseConstructor
      5    0.4%    0.3%  t _Builtins_Call_ReceiverIsNullOrUndefined
      5    0.4%    0.3%  t _Builtins_CallFunction_ReceiverIsNullOrUndefined
      4    0.3%    0.2%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      4    0.3%    0.2%  t _Builtins_StringSubstring
      4    0.3%    0.2%  t _Builtins_LoadIC_Megamorphic
      4    0.3%    0.2%  t _Builtins_LoadICBaseline
      4    0.3%    0.2%  t _Builtins_GetProperty
      4    0.3%    0.2%  t _Builtins_Call_ReceiverIsNullOrUndefined_Baseline_Compact
      4    0.3%    0.2%  t _Builtins_Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
      4    0.3%    0.2%  t _Builtins_BaselineLeaveFrame
      4    0.3%    0.2%  T _mach_get_times
      3    0.2%    0.2%  t ___pfz_setup
      3    0.2%    0.2%  t _Builtins_StringAdd_CheckNone
      3    0.2%    0.2%  t _Builtins_MapPrototypeGet
      3    0.2%    0.2%  t _Builtins_LessThan_Baseline
      3    0.2%    0.2%  t _Builtins_FindOrderedHashSetEntry
      3    0.2%    0.2%  t _Builtins_FindOrderedHashMapEntry
      3    0.2%    0.2%  t _Builtins_Call_ReceiverIsNotNullOrUndefined
      3    0.2%    0.2%  t _Builtins_Call_ReceiverIsAny
      3    0.2%    0.2%  t _Builtins_CallFunction_ReceiverIsAny
      3    0.2%    0.2%  t _Builtins_ArrayPrototypeSlice
      2    0.2%    0.1%  t __os_once_gate_broadcast
      2    0.2%    0.1%  t _Builtins_StringPrototypeReplace
      2    0.2%    0.1%  t _Builtins_StringPrototypeCharCodeAt
      2    0.2%    0.1%  t _Builtins_RegExpPrototypeExec
      2    0.2%    0.1%  t _Builtins_KeyedStoreIC
      2    0.2%    0.1%  t _Builtins_GeneratorPrototypeNext
      2    0.2%    0.1%  t _Builtins_FunctionPrototypeCall
      2    0.2%    0.1%  t _Builtins_CreateShallowObjectLiteral
      2    0.2%    0.1%  t _Builtins_Construct
      2    0.2%    0.1%  t _Builtins_CompileLazy
      2    0.2%    0.1%  t _Builtins_ArraySome
      2    0.2%    0.1%  t _Builtins_ArrayPrototypeJoin
      2    0.2%    0.1%  t _Builtins_Add_Baseline
      2    0.2%    0.1%  t (anonymous namespace)::init_resb_result(UResourceDataEntry*, unsigned int, char const*, int, UResourceDataEntry*, char const*, int, UResourceBundle*, UErrorCode*)
      1    0.1%    0.1%  t icu_71::MaybeStackArray<char, 40>::~MaybeStackArray()
      1    0.1%    0.1%  t checkDataItem(DataHeader const*, signed char (*)(void*, char const*, char const*, UDataInfo const*), void*, char const*, char const*, UErrorCode*, UErrorCode*)
      1    0.1%    0.1%  t _uhash_allocate(UHashtable*, int, UErrorCode*)
      1    0.1%    0.1%  t _construct_stub_create_deopt_addr
      1    0.1%    0.1%  t _Builtins_WeakMapPrototypeSet
      1    0.1%    0.1%  t _Builtins_TypedArrayPrototypeLength
      1    0.1%    0.1%  t _Builtins_TypedArrayPrototypeByteLength
      1    0.1%    0.1%  t _Builtins_ThrowReferenceErrorIfHoleHandler
      1    0.1%    0.1%  t _Builtins_TestInHandler
      1    0.1%    0.1%  t _Builtins_StringPrototypeSlice
      1    0.1%    0.1%  t _Builtins_StringPrototypeIndexOf
      1    0.1%    0.1%  t _Builtins_StringPrototypeIncludes
      1    0.1%    0.1%  t _Builtins_StringIndexOf
      1    0.1%    0.1%  t _Builtins_StoreInArrayLiteralICBaseline
      1    0.1%    0.1%  t _Builtins_StoreInArrayLiteralIC
      1    0.1%    0.1%  t _Builtins_StoreIC_NoFeedback
      1    0.1%    0.1%  t _Builtins_StoreFastElementIC_Standard
      1    0.1%    0.1%  t _Builtins_ShiftRightSmiWideHandler
      1    0.1%    0.1%  t _Builtins_SetConstructor
      1    0.1%    0.1%  t _Builtins_ReturnReceiver
      1    0.1%    0.1%  t _Builtins_ReflectGet
      1    0.1%    0.1%  t _Builtins_RecordWriteSaveFP
      1    0.1%    0.1%  t _Builtins_PerformPromiseThen
      1    0.1%    0.1%  t _Builtins_ObjectPrototypeToString
      1    0.1%    0.1%  t _Builtins_ObjectPrototypeHasOwnProperty
      1    0.1%    0.1%  t _Builtins_ObjectDefineProperty
      1    0.1%    0.1%  t _Builtins_NumberIsInteger
      1    0.1%    0.1%  t _Builtins_NewRestArgumentsElements
      1    0.1%    0.1%  t _Builtins_MapPrototypeSet
      1    0.1%    0.1%  t _Builtins_LdarHandler
      1    0.1%    0.1%  t _Builtins_LdaConstantHandler
      1    0.1%    0.1%  t _Builtins_KeyedLoadIC_PolymorphicName
      1    0.1%    0.1%  t _Builtins_KeyedLoadICBaseline
      1    0.1%    0.1%  t _Builtins_JumpLoopHandler
      1    0.1%    0.1%  t _Builtins_InterpreterPushArgsThenCall
      1    0.1%    0.1%  t _Builtins_InterpreterEntryTrampoline
      1    0.1%    0.1%  t _Builtins_InstanceOf_Baseline
      1    0.1%    0.1%  t _Builtins_IncHandler
      1    0.1%    0.1%  t _Builtins_GetNamedPropertyHandler
      1    0.1%    0.1%  t _Builtins_FunctionPrototypeHasInstance
      1    0.1%    0.1%  t _Builtins_FastNewStrictArguments
      1    0.1%    0.1%  t _Builtins_Equal_Baseline
      1    0.1%    0.1%  t _Builtins_CreateShallowArrayLiteral
      1    0.1%    0.1%  t _Builtins_CreateRestParameterHandler
      1    0.1%    0.1%  t _Builtins_CreateEmptyLiteralObject
      1    0.1%    0.1%  t _Builtins_BitwiseOr_Baseline
      1    0.1%    0.1%  t _Builtins_ArrayPrototypePush
      1    0.1%    0.1%  t _Builtins_ArrayPrototypePop
      1    0.1%    0.1%  t _Builtins_ArrayMap
      1    0.1%    0.1%  t _Builtins_ArrayFrom
      1    0.1%    0.1%  T icu_71::DateTimePatternGenerator::getBestRaw(icu_71::DateTimeMatcher&, int, icu_71::DistanceInfo*, UErrorCode&, icu_71::PtnSkeleton const**)
      1    0.1%    0.1%  T _u_strlen_71
      1    0.1%    0.1%  T _res_getStringNoTrace_71
      1    0.1%    0.1%  T _read$NOCANCEL
      1    0.1%    0.1%  T _necp_open
      1    0.1%    0.1%  T _host_request_notification

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
    912   46.5%  T node::HistogramBase::GetConstructorTemplate(node::Environment*)
    421   46.2%    JS: ^internalCompileFunction node:internal/vm:30:33
    413   98.1%      JS: ^wrapSafe node:internal/modules/cjs/loader:1117:18
    413  100.0%        JS: ^Module._compile node:internal/modules/cjs/loader:1173:37
    407   98.5%          JS: ^Module._extensions..js node:internal/modules/cjs/loader:1227:37
    407  100.0%            JS: ^Module.load node:internal/modules/cjs/loader:1069:33
      6    1.5%          JS: ~Module._extensions..js node:internal/modules/cjs/loader:1227:37
      6  100.0%            JS: ^Module.load node:internal/modules/cjs/loader:1069:33
      8    1.9%      JS: ~wrapSafe node:internal/modules/cjs/loader:1117:18
      8  100.0%        JS: ~Module._compile node:internal/modules/cjs/loader:1173:37
      8  100.0%          JS: ~Module._extensions..js node:internal/modules/cjs/loader:1227:37
      7   87.5%            JS: ^Module.load node:internal/modules/cjs/loader:1069:33
      1   12.5%            JS: ~Module.load node:internal/modules/cjs/loader:1069:33
     48    5.3%    JS: ^compileForInternalLoader node:internal/bootstrap/loaders:319:27
     43   89.6%      JS: ^nativeModuleRequire node:internal/bootstrap/loaders:356:29
      5   11.6%        JS: ~<anonymous> node:internal/child_process:1:1
      5  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/loaders:319:27
      5  100.0%            JS: ^nativeModuleRequire node:internal/bootstrap/loaders:356:29
      4    9.3%        JS: ~setupWebCrypto node:internal/process/pre_execution:270:24
      4  100.0%          JS: ~prepareExecution node:internal/process/pre_execution:52:26
      4  100.0%            JS: ~prepareMainThreadExecution node:internal/process/pre_execution:36:36
      4    9.3%        JS: ~<anonymous> node:internal/modules/esm/loader:1:1
      4  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/loaders:319:27
      4  100.0%            JS: ^nativeModuleRequire node:internal/bootstrap/loaders:356:29
      2    4.7%        JS: ~prepareExecution node:internal/process/pre_execution:52:26
      2  100.0%          JS: ~prepareMainThreadExecution node:internal/process/pre_execution:36:36
      2  100.0%            JS: ~<anonymous> node:internal/main/run_main_module:1:1
      2    4.7%        JS: ~initializeCJSLoader node:internal/process/pre_execution:563:29
      2  100.0%          JS: ~setupUserModules node:internal/process/pre_execution:121:26
      2  100.0%            JS: ~prepareExecution node:internal/process/pre_execution:52:26
      2    4.7%        JS: ~<anonymous> node:internal/readline/interface:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/loaders:319:27
      2  100.0%            JS: ^nativeModuleRequire node:internal/bootstrap/loaders:356:29
      2    4.7%        JS: ~<anonymous> node:internal/process/esm_loader:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/loaders:319:27
      2  100.0%            JS: ^nativeModuleRequire node:internal/bootstrap/loaders:356:29
      2    4.7%        JS: ~<anonymous> node:internal/fs/promises:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/loaders:319:27
      2  100.0%            JS: ^nativeModuleRequire node:internal/bootstrap/loaders:356:29
      2    4.7%        JS: ~<anonymous> node:http:1:1
      2  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/loaders:319:27
      2  100.0%            JS: ~compileForPublicLoader node:internal/bootstrap/loaders:264:25
      2    4.7%        JS: ~<anonymous> node:child_process:1:1
